route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3778_48886,129,3778_642,Sandyford,300.MF-BH.93-GRN-y11,0,3778_7778148_Txc105306,3778_4
3778_48887,130,3778_6424,The Point,165.Sat.93-RED-y11-1,1,3778_7778148_Txc109407,3778_51
3778_48887,131,3778_6425,The Point,165.gf.93-RED-y11-16,1,3778_7778148_Txc109409,3778_52
3778_48887,129,3778_6428,The Point,217.MF-BH.93-RED-y11,1,3778_7778148_Txc109636,3778_50
3778_48887,132,3778_6429,The Point,180.SuBH.93-RED-y11-,1,3778_7778148_Txc109476,3778_56
3778_48886,130,3778_643,Brides Glen,200.Sat.93-GRN-y11-1,0,3778_7778148_Txc105019,3778_5
3778_48887,130,3778_6434,Belgard,166.Sat.93-RED-y11-1,1,3778_7778148_Txc109411,3778_40
3778_48887,131,3778_6435,Belgard,166.gf.93-RED-y11-16,1,3778_7778148_Txc109413,3778_40
3778_48887,132,3778_6438,Belgard,181.SuBH.93-RED-y11-,1,3778_7778148_Txc109480,3778_40
3778_48886,131,3778_644,Brides Glen,200.gf.93-GRN-y11-16,0,3778_7778148_Txc105020,3778_5
3778_48887,129,3778_6443,Belgard,218.MF-BH.93-RED-y11,1,3778_7778148_Txc109640,3778_45
3778_48887,129,3778_6444,Belgard,219.MF-BH.93-RED-y11,1,3778_7778148_Txc109644,3778_40
3778_48887,130,3778_6445,The Point,167.Sat.93-RED-y11-1,1,3778_7778148_Txc109415,3778_51
3778_48887,131,3778_6446,The Point,167.gf.93-RED-y11-16,1,3778_7778148_Txc109417,3778_52
3778_48887,130,3778_6449,Belgard,168.Sat.93-RED-y11-1,1,3778_7778148_Txc109419,3778_40
3778_48887,131,3778_6450,Belgard,168.gf.93-RED-y11-16,1,3778_7778148_Txc109421,3778_40
3778_48887,132,3778_6451,The Point,182.SuBH.93-RED-y11-,1,3778_7778148_Txc109484,3778_56
3778_48887,129,3778_6452,The Point,220.MF-BH.93-RED-y11,1,3778_7778148_Txc109652,3778_50
3778_48887,129,3778_6459,The Point,221.MF-BH.93-RED-y11,1,3778_7778148_Txc109656,3778_60
3778_48887,130,3778_6460,The Point,169.Sat.93-RED-y11-1,1,3778_7778148_Txc109423,3778_51
3778_48887,131,3778_6461,The Point,169.gf.93-RED-y11-16,1,3778_7778148_Txc109425,3778_52
3778_48887,130,3778_6464,Belgard,170.Sat.93-RED-y11-1,1,3778_7778148_Txc109431,3778_40
3778_48887,131,3778_6465,Belgard,170.gf.93-RED-y11-16,1,3778_7778148_Txc109433,3778_40
3778_48887,129,3778_6468,Belgard,223.MF-BH.93-RED-y11,1,3778_7778148_Txc109664,3778_40
3778_48887,129,3778_6469,The Point,222.MF-BH.93-RED-y11,1,3778_7778148_Txc109660,3778_50
3778_48887,130,3778_6470,The Point,171.Sat.93-RED-y11-1,1,3778_7778148_Txc109435,3778_51
3778_48887,131,3778_6471,The Point,171.gf.93-RED-y11-16,1,3778_7778148_Txc109437,3778_52
